CVR,Firma,Akiv,Type,Postnummer,Momsfaktor,Afdeling
84493813,Efterskolen Waldemarsbo,07/14/2009,Efterskole,4654,,
85188119,ADVODAN Lolland-Falster,,,,,
85630113,Hørhuset,01/01/2008,Bofællesskab,2300,,
85709119,Ringe Kost- og Realskole,08/01/2014,Kostskole,5750,,
86944510,Bindernæs efterskole,09/01/2009,Efterskole,4970,,
89185513,Halstedhus Efterskole,,,,"95,4%",01008
89257514,Pederstrup efterskole,08/01/2009,Efterskole,4943,,
93019350,STUTTERI SVANEMOSEN V/ARNE NIELSEN,12/13/2007,Opholdssted,6580,,
97124390,Familiehøjskolen Skærgården,01/01/2007,Familiebehandling,7400,,
,Bofællesskabet Alstrup allé,01/01/2011,Botilbud midlertidigt,8381,,
,Møllebakken,05/05/2017,Opholdssted,,,01005
,Forsorgshjemmet Solvang,01/01/2011,Opholdssted med budget,,,
,Skovvænget,01/01/2011,Andet,2750,,
,"""Fiktiv"" Strandager",01/01/2007,Opholdssted,,,
,Munkegård,01/01/2007,Opholdssted,,,
,Basen,,,,,
,Farmen/behandl.,,,,,
,Fjordskolen/socialdel,,,,,
,Fortuna ApS,,,,,
,Henrik Skovsen/kontaktper.,,,,,
,JSR-socialkonsulenter,,,,,
,"KAB husleje,Egebjergvang 169",,,,,
,MK Consult,,,,"95,4%",01008
,Pausen,,,,"95,4%",01008
,Pia Offenberg/støtte,,,,,
,Pilely Gård,,,,,
,Skolen Gimle-Behandling på intern skole,,,,,
,"Socialkonsulenterne, Fam.behandl.",,,,,
,Steiner Børnehave,,,,,
,Taxa 4x35,,Transport,,,
,Villa Magnoila,,,,,
