CVR,Firma,Akiv,Type,Postnummer,Momsfaktor,Afdeling
22010689,Opholdsstedet Tiagrehus,12/01/2009,Andet,6800,,
22021478,Bostedet Fruerlund,01/01/2009,Bofællesskab,4250,,
22028634,Opholdsstedet Peterslyst ridecenter,10/25/2012,Andet,,,
23790718,HAVREGÅRDEN  Lille Kost- og Dagskole ,01/01/2007,Kost-/efterskole,3250,"95,4%",01008
24197646,Svendebjerggaard,07/01/2010,Krisecenter,2650,,
24206475,BOAS,05/01/2008,Egen bolig,,,
24206475,Stranden 222,01/01/2009,Egen bolig,2300,,
24975592,Frejlev Gl. Brugs,03/16/2014,Opholdssted,4892,,
25106741,Familieinstitutionen Skovvænge,01/01/2007,Egen bolig,4760,,
25155599,Haugårdhus,06/01/2009,Andet,9632,,
25168232,Vitus,07/07/2014,Opholdssted,,,
25169395,Søren Kierkegaard Kollegiet v. Center for,05/01/2016,Opholdssted,2750,,
25266390,Projekt Start/ JMB BO v/Mogens Bergg,11/01/2013,Andet,,,
25354656,Fonden Godhavn,,,,,
25354656,Godhavn,07/27/2014,Spædbørnehjem,,,
25365194,"Skovridergården ""Hildesvig""",10/06/2009,Opholdssted for familie,4862,,
25477154,DUOS,,,,,
25499395,Paideia,12/11/2002,Opholdssted,4652,,
25513630,Schreiber Satellitten,10/01/2010,Opholdssted,7160,,
25528603,MØLLEN,03/01/2007,Opholdssted,4943,,
25529839,Måløvgård,01/01/2007,Opholdssted med budget,2760,,
25542991,Kammergave,01/01/2010,Opholdssted med budget,4190,,
25599772,Fonden Bofællesskabet Ørbækskilde,12/18/2011,Socialpædagogisk opholdssted,4540,,
25672836,Birketoften,08/21/2007,Andet,3500,"95,4%",01008
25672836,Sozial Service,01/15/2008,Aflastning,3500,,
25685970,Fonden Asgaard,07/23/2010,Opholdssted,5580,,
25722329,Mandecentret,06/01/2008,Bofællesskab,1414,,
25726960,På Rette Kurs,11/01/2013,Opholdssted,,,
25731832,VESTERMARKEN,01/01/2007,Opholdssted,8305,,
25797809,DSI Andromeda,07/01/2018,Skibsprojekt,7752,"95,4%",01008
25812018,"Socialprojektet ""MØLLEHUSET""",01/01/2007,Aflastning,4270,,
