Finanskontoalias,Angivelse af finanskontoalias,Type,Brugergruppe/bruger,Ændret af
3170894005,02022-322171999-029010-409---5054,Delt,,FujAdm07
3170894900,02022-322171999-029010-499---5054,Delt,,FujAdm07
3170962205,02022-322171999-029010-229---5054,Delt,,FujAdm07
3170962906,02022-322171999-029010-299---5054,Delt,,FujAdm07
3170964003,02022-322171999-029010-409---5054,Delt,,FujAdm07
3170964909,02022-322171999-029010-499---5054,Delt,,FujAdm07
3170984950,02022-322171999-020082-499---5054,Delt,,FujAdm07
3171014009,09125-322171999-091191-409---,Delt,,emu
3171094002,09125-322171999-091190-409CPR--091101-5054,Delt,,far
3171094800,09125-322171999-091190-489--091160-5054,Delt,,FujAdm07
3171117703,02015-322171999-029074-779---,Delt,,jun
3171119706,02015-322171999-020047-979--023699-,Delt,,madw
3171122901,02022-322171999-029004-299---5054,Delt,,FujAdm07
3171124009,02022-322171999-029003-409---5054,Delt,,FujAdm07
3171129450,02022-322171999-029004-949---5054,Delt,,FujAdm07
3171132907,02022-322171999-029003-299---5054,Delt,,FujAdm07
3171134004,02022-322171999-029009-409---5054,Delt,,FujAdm07
3171134950,02022-322171999-029009-499---5054,Delt,,FujAdm07
3171182203,02022-322171999-020016-229---5054,Delt,,FujAdm07
3171182904,02022-322171999-020016-299---5054,Delt,,FujAdm07
3171184001,02022-322171999-020016-409---5054,Delt,,FujAdm07
3171184907,02022-322171999-020016-499---5054,Delt,,FujAdm07
3171194007,02022-322171999-029003-409---5054,Delt,,FujAdm07
3171194902,02022-322171999-029004-499---5054,Delt,,FujAdm07
3171199408,02022-322171999-029004-949---5054,Delt,,FujAdm07
3171222906,02022-322171999-029009-299---5054,Delt,,FujAdm07
3171224003,02022-322171999-029009-409---5054,Delt,,FujAdm07
3171224909,02022-322171999-029009-499---5054,Delt,,FujAdm07
3171302209,02022-322171999-023001-229---5054,Delt,,FujAdm07
3171312301,02022-322171999-029014-239---5054,Delt,,FujAdm07
3171314908,02022-322171999-029014-499---5054,Delt,,FujAdm07
3171382202,02022-322171999-023001-229---5054,Delt,,FujAdm07
3171392208,02022-322171999-023001-229---5054,Delt,,FujAdm07
3171404001,02022-322171999-029017-409---5054,Delt,,FujAdm07
3171412950,02022-322171999-029017-299---5054,Delt,,FujAdm07
3171414503,02022-322171999-029017-459---5054,Delt,,FujAdm07
3171422301,02022-322171999-029017-239---5054,Delt,,FujAdm07
3171432250,02022-322171999-023001-229---5054,Delt,,FujAdm07
3171497700,02022-322171999-023004-779---,Delt,,jun
3171499703,02022-322171999-023004-979---,Delt,,jun
3171507706,02022-322171999-020003-779---5054,Delt,,FujAdm07
3171509709,02022-322171999-020003-979---5054,Delt,,FujAdm07
3171519704,02022-322171999-029009-979---5054,Delt,,FujAdm07
3173364007,09125-322171999-099011-409CPR--091009-5054,Delt,,far
3300124002,02020-322021999-029007-409---3032,Delt,,FujAdm07
3341164000,99004-322013999-990028-409-A301234--3034,Delt,,FujAdm07
3341164507,99004-322013999-990028-459-A301234--3034,Delt,,FujAdm07
3341164906,99004-322013999-990028-499-A301234--3034,Delt,,FujAdm07
3341169401,99004-322013999-990028-949-A301234--3034,Delt,,FujAdm07
3361504908,04023-322051999-040012-499---,Delt,,jun
3401162908,99004-322013999-990028-459-A301240--3034,Delt,,Admin
3401164005,99004-322013999-990028-459-A301240--3034,Delt,,Admin
3401164501,99004-322013999-990028-459-A301240--3034,Delt,,Admin
3401169406,99004-322013999-990028-459-A301240--3034,Delt,,Admin
3440024601,07029-330441001-070038-469---,Delt,,emu
3440024903,07002-330441001-070008-499---2002,Delt,,FujAdm07
3440035905,07029-330441002-070038-599---,Delt,,emu
3440134008,02024-330441001-020032-409---,Delt,,mmge
3440134903,02024-330441001-020032-499---3033,Delt,,FujAdm07
3450011605,07029-330451001-070038-104---,Delt,,emu
3450022909,07029-330451002-070038-299---,Delt,,emu
3450024006,07029-330451002-070038-409---,Delt,,emu
3450024901,07029-330451002-070038-499---,Delt,,emu
3450031606,07029-330451001-070038-104---,Delt,,emu
3450041601,07029-330451005-070038-104---,Delt,,emu
3450102902,07002-330451002-070008-299---2002,Delt,,FujAdm07
3450114005,07002-330451002-070008-409--070035-2002,Delt,,FujAdm07
3450114900,07029-330451002-070038-499---,Delt,,emu
3450122903,07002-330451002-070008-299--070035-2002,Delt,,FujAdm07
3450134006,07002-330451002-070008-409--070035-2002,Delt,,FujAdm07
3450184003,07029-330451999-070038-409---,Delt,,emu
3450194009,07029-330451003-070038-409---,Delt,,emu
3450211604,07029-330451005-070038-104---,Delt,,emu
3459008607,07029-330452001-070038-869---,Delt,,emu
3459018602,07029-330452002-070038-869---,Delt,,emu
3460054000,02024-330461999-020041-409---3033,Delt,,FujAdm07
3460054701,02024-330461999-020041-479---,Delt,,mmge
3460059401,02024-330461999-020041-949---,Delt,,mmge
3460069407,02024-330461999-020042-949CPR---,Delt,,mmge
3460074001,01016-330461999-010009-409---3033,Delt,,FujAdm07
3460084708,09125-330461999-091043-479CPR--091102-5054,Delt,,far
3460134004,02025-330461999-020041-409---,Delt,,mmge
3460154005,01017-330461999-010009-409---3033,Delt,,FujAdm07
3460164000,09152-330461999-091106-409CPR---,Delt,,emu
3502012206,02032-332501999-026052-229TS---4037,Delt,,FujAdm07
3502022201,02032-332501999-026052-229TS---4037,Delt,,FujAdm07
3502032908,02032-332501999-026052-299TS---4037,Delt,,FujAdm07
3502034005,02032-332501999-026052-409---4037,Delt,,FujAdm07
3502034900,02032-332501999-026052-499TS---4037,Delt,,FujAdm07
3502039406,02032-332501999-026052-949---4037,Delt,,FujAdm07
3502047204,02032-332501999-026052-729TS---4037,Delt,,FujAdm07
3502052704,02032-332501999-026052-279TS---4037,Delt,,FujAdm07
3502052909,02032-332501999-026052-299TS---4037,Delt,,FujAdm07
3502062904,02032-332501999-026052-299TS---4037,Delt,,FujAdm07
3502072950,02032-332501999-026052-299TS---4037,Delt,,FujAdm07
3502074007,02032-332501999-026052-409---4037,Delt,,FujAdm07
3502074902,02032-332501999-026052-499TS---4037,Delt,,FujAdm07
3502087206,02032-332501999-026052-729TS---4037,Delt,,FujAdm07
3502087702,02032-332501999-026052-779---4037,Delt,,FujAdm07
3502089705,02032-332501999-026052-979---4037,Delt,,FujAdm07
3503044004,99002-332503999-990016-409-A350304--4037,Delt,,FujAdm07
3503044500,99002-332503999-990016-459-A350304--4037,Delt,,FujAdm07
3503044950,99002-332503999-990016-499-A350304--4037,Delt,,FujAdm07
3505107909,02032-332501003-020068-799---4037,Delt,,FujAdm07
3505112902,02049-332501003-029092-299---,Delt,,emu
3505122908,02049-332501003-029085-299---,Delt,,emu
3505134000,99010-022013999-990016-409-A001307--6060,Delt,,cao
3505154001,02049-332501003-029081-409---,Delt,,emu
3505154907,02049-332501003-029081-499---,Delt,,emu
3505162950,02049-332501003-029124-299---,Delt,,emu
3505164007,02049-332501003-029124-409---,Delt,,emu
3505192906,02048-332501003-029092-299---,Delt,,emu
3505212907,02048-332501003-029085-299---,Delt,,emu
3505214004,02032-332501003-026054-409---4037,Delt,,FujAdm07
3505232908,02032-332501008-020068-299--020066-4037,Delt,,emu
3505242903,02049-332501008-029101-299---,Delt,,emu
3505262904,02032-332501008-026053-299--021005-4037,Delt,,emu
3505272950,02032-332501008-029112-299---,Delt,,emu
3505302906,02048-332501008-029101-299---,Delt,,emu
3505311050,02032-332501999-060601-109---,Delt,,jun
3505311905,02032-332501999-060601-106---,Delt,,jun
3505317903,02032-332501999-029001-799---4037,Delt,,FujAdm07
3505319701,02032-332501999-029001-979---4037,Delt,,FujAdm07
3505382950,02048-332501008-029112-299---,Delt,,emu
3505402900,02048-332501003-029120-299---,Delt,,emu
3505404008,02032-332501003-026054-409---4037,Delt,,FujAdm07
3505412906,02048-332501003-029124-299---,Delt,,emu
3505414003,02048-332501003-029124-409---,Delt,,emu
3505424009,02032-332501999-029015-409---4037,Delt,,FujAdm07
3505462903,02032-332501003-020068-299---4037,Delt,,FujAdm07
3505477900,02032-332501003-020068-799---4037,Delt,,FujAdm07
3505492950,02032-332501008-026054-299---4037,Delt,,FujAdm07
3505514008,02032-332501008-020068-409---4037,Delt,,FujAdm07
3505514903,02032-332501008-020068-499---4037,Delt,,FujAdm07
3505532901,02032-332501999-029001-299---4037,Delt,,FujAdm07
3505534009,02032-332501999-029001-409---4037,Delt,,FujAdm07
3505534904,02032-332501999-029001-499---4037,Delt,,FujAdm07
3505554050,02032-332501999-029001-409---,Delt,,mmge
3505554905,02032-332501999-029003-499---4037,Delt,,FujAdm07
3505562207,02032-332501999-029001-229---4037,Delt,,FujAdm07
3505562908,02032-332501999-029001-299---4037,Delt,,FujAdm07
3505564005,02032-332501999-029001-409---4037,Delt,,FujAdm07
3505564900,02032-332501999-029001-499---4037,Delt,,FujAdm07
3505567950,02032-332501999-029001-799---4037,Delt,,FujAdm07
3505569406,02032-332501999-029001-949---4037,Delt,,FujAdm07
3505602950,02032-332501999-026055-299---4037,Delt,,FujAdm07
3505604902,02032-332501999-026055-499---4037,Delt,,FujAdm07
3505607901,02032-332501999-026055-799---4037,Delt,,FujAdm07
3505612905,02032-332501008-026054-299--021005-4037,Delt,,emu
3505659405,02032-332501999-029001-949---4037,Delt,,FujAdm07
3505687204,02032-332501003-020068-729---4037,Delt,,FujAdm07
3505692909,02032-332501008-026054-299---4037,Delt,,FujAdm07
3505707906,04047-332501999-040011-799--040117-4037,Delt,,ajml
3505724002,02032-332501999-026053-409---4037,Delt,,FujAdm07
3505724908,02032-332501999-026053-499---4037,Delt,,FujAdm07
3505727206,02032-332501999-026053-729---4037,Delt,,FujAdm07
3505727907,02032-332501999-026053-799---4037,Delt,,FujAdm07
3505764004,02032-332501999-026054-409---4037,Delt,,FujAdm07
3505764950,02032-332501999-026054-499---4037,Delt,,FujAdm07
3505767607,02032-332501999-026054-769---4037,Delt,,FujAdm07
3505794000,02032-332501999-026054-409---4037,Delt,,FujAdm07
3505794906,02032-332501999-026054-499---4037,Delt,,FujAdm07
3505857207,02032-332501999-026056-729---4037,Delt,,FujAdm07
3505862901,02032-332501999-029002-299---4037,Delt,,FujAdm07
3505864904,02032-332501999-029002-499---4037,Delt,,FujAdm07
3505872907,02032-332501999-029002-299---4037,Delt,,FujAdm07
3505874950,02032-332501999-029002-499---4037,Delt,,FujAdm07
3505932950,02032-332501999-029002-299---4037,Delt,,FujAdm07
3505934902,02032-332501999-029002-499---4037,Delt,,FujAdm07
3505942905,02032-332501999-029002-299---4037,Delt,,FujAdm07
3506102900,02032-332501999-029003-299---4037,Delt,,FujAdm07
3506152908,02032-332501999-026017-299---4037,Delt,,FujAdm07
3506164906,02032-332501003-020068-499---4037,Delt,,FujAdm07
3506172208,02032-332501999-026017-229---4037,Delt,,FujAdm07
3506177250,02032-332501999-026017-729---4037,Delt,,FujAdm07
3506182904,02032-332501999-029004-299---4037,Delt,,FujAdm07
3506184001,02032-332501999-029004-409---4037,Delt,,FujAdm07
3506194902,02032-332501999-029004-499---4037,Delt,,FujAdm07
3506204002,02032-332501999-029004-409---4037,Delt,,FujAdm07
3506204908,02032-332501999-029004-499---4037,Delt,,FujAdm07
3506209403,02032-332501999-029004-949---4037,Delt,,FujAdm07
3506222906,02032-332501999-029004-299---4037,Delt,,FujAdm07
3506224003,02032-332501999-029004-409---4037,Delt,,FujAdm07
3506224909,02032-332501999-029004-499---4037,Delt,,FujAdm07
3506269406,02032-332501999-029003-949---4037,Delt,,FujAdm07
3506274906,02032-332501999-029003-499---4037,Delt,,FujAdm07
3506282909,02032-332501008-029122-299---,Delt,,emu
3506284901,02032-332501999-029003-499---4037,Delt,,FujAdm07
3506294907,02032-332501999-029003-499---4037,Delt,,FujAdm07
3506311003,02032-332501999-026111-109---,Delt,,mmge
3506317850,02032-332501999-026111-789---4037,Delt,,FujAdm07
3506334003,02032-332501999-029003-409---4037,Delt,,FujAdm07
3506334909,02032-332501999-029003-499---4037,Delt,,FujAdm07
3506354004,02032-332501999-029003-409---4037,Delt,,FujAdm07
3506354950,02032-332501999-029003-499---4037,Delt,,FujAdm07
3506362309,02032-332501999-029012-239---4037,Delt,,FujAdm07
3506362902,02032-332501999-029012-299---4037,Delt,,FujAdm07
3506364050,02032-332501999-029012-409---4037,Delt,,FujAdm07
3506364506,02032-332501999-029012-459---4037,Delt,,FujAdm07
3506364905,02032-332501999-029012-499---4037,Delt,,FujAdm07
3506382202,02032-332501999-029003-229---4037,Delt,,FujAdm07
3506382903,02032-332501999-029003-299---4037,Delt,,FujAdm07
3506384000,02032-332501999-029003-409---4037,Delt,,FujAdm07
3506384906,02032-332501999-029003-499---4037,Delt,,FujAdm07
3506389401,02032-332501999-029003-949---4037,Delt,,FujAdm07
3506394006,04047-332501999-040005-409---,Delt,,jun
3506394901,04047-332501999-040005-499---,Delt,,jun
3506812908,02051-332501999-020001-299---,Delt,,jun
3506882906,02032-332501999-026017-299---4037,Delt,,FujAdm07
3506884003,02032-332501999-026017-409---4037,Delt,,FujAdm07
3506884909,02032-332501999-026017-499---4037,Delt,,FujAdm07
3506889404,02032-332501999-026017-949---4037,Delt,,FujAdm07
3506912902,02051-332501999-020001-299---,Delt,,jun
3506914050,02051-332501999-029113-409---,Delt,,jun
3506914905,02051-332501999-020001-499---,Delt,,jun
3506919400,02032-332501999-026066-949---4037,Delt,,FujAdm07
3506944006,02032-332501003-020068-409---4037,Delt,,FujAdm07
3506944901,02032-332501003-020068-499---4037,Delt,,FujAdm07
3507102203,02051-332501999-029103-229---,Delt,,jun
3507102904,02051-332501999-020001-299---,Delt,,jun
3507104001,02051-332501999-029113-409---,Delt,,jun
3507104907,02051-332501999-020001-499---,Delt,,jun
3507109402,02032-332501999-026066-949---4037,Delt,,FujAdm07
3507137708,02032-332501003-020068-779---4037,Delt,,FujAdm07
3507142701,02032-332501999-026066-279---4037,Delt,,FujAdm07
3507142906,02051-332501999-020001-299---,Delt,,jun
3507144909,02051-332501999-020001-499---,Delt,,jun
3507162907,02032-332501999-029020-299---4037,Delt,,FujAdm07
3507164950,02032-332501999-029020-499---4037,Delt,,FujAdm07
3507172201,02032-332501999-029103-229---,Delt,,jun
3507172902,02051-332501999-020001-299---,Delt,,jun
3507174050,02051-332501999-029113-409---,Delt,,jun
3507174905,02051-332501999-020001-499---,Delt,,jun
3507179400,02032-332501999-026066-949---4037,Delt,,FujAdm07
3507182908,02051-332501999-020001-299---,Delt,,jun
3507184005,02051-332501999-029113-409---,Delt,,jun
3507184900,02051-332501999-020001-499---,Delt,,jun
3507192202,02032-332501999-026100-229---4037,Delt,,FujAdm07
3507192903,02032-332501999-026100-299---4037,Delt,,FujAdm07
3507199401,02032-332501999-026100-949---4037,Delt,,FujAdm07
3507202909,02051-332501999-020001-299---,Delt,,jun
3507204006,02051-332501999-029113-409---,Delt,,jun
3507204901,02051-332501999-020001-499---,Delt,,jun
3507207250,02032-332501999-026066-729---4037,Delt,,FujAdm07
3507207900,02032-332501999-026066-799---4037,Delt,,FujAdm07
3507209407,02032-332501999-026066-949---4037,Delt,,FujAdm07
3507212904,02032-332501999-029001-299---4037,Delt,,FujAdm07
3507214907,02032-332501999-029001-499---4037,Delt,,FujAdm07
3507224007,02032-332501999-026100-409---4037,Delt,,FujAdm07
3507224902,02032-332501999-026100-499---4037,Delt,,FujAdm07
3508601009,02032-332501200-060601-109---,Delt,,jun
3508682203,02032-332501999-026005-229---4037,Delt,,FujAdm07
3508684001,02032-332501999-026005-409---4037,Delt,,FujAdm07
3508684907,02032-332501999-026005-499---4037,Delt,,FujAdm07
3508692209,02032-332501999-026005-229---4037,Delt,,FujAdm07
3508694007,02032-332501999-026005-409---4037,Delt,,FujAdm07
3508744004,04047-332501999-040005-409---,Delt,,jun
3508744950,04047-332501999-040005-499---,Delt,,jun
3508754050,04047-332501999-040005-409---,Delt,,jun
3508754905,04047-332501999-040005-499---,Delt,,jun
3508762207,02032-332501999-026052-229TS---4037,Delt,,FujAdm07
3508762908,02032-332501999-026052-299TS---4037,Delt,,FujAdm07
3508764900,02032-332501999-026052-499TS---4037,Delt,,FujAdm07
3508767209,02032-332501999-026052-729TS---4037,Delt,,FujAdm07
3508769708,02032-332501999-026052-979---4037,Delt,,FujAdm07
3508837908,02032-332501999-026057-799---4037,Delt,,FujAdm07
3600011900,02009-335601999-060601-106---,Delt,,jun
3600021000,04045-335601999-060601-109---,Delt,,jun
3600024010,11006-335601999-060603-409---,Delt,,emu
3600031006,11001-335601999-060601-109---,Delt,,emu
3600041001,11001-335601999-060601-109---,Delt,,emu
3600051007,11001-335601999-060601-109---,Delt,,emu
3600052909,02009-335601999-029003-299---4038,Delt,,FujAdm07
3600054006,02009-335601999-029003-409---,Delt,,mmge
3600054901,02009-335601999-029003-499---4038,Delt,,FujAdm07
3600059202,11006-335601999-060199-929---,Delt,,jun
3600062904,02009-335601999-029003-299---4038,Delt,,FujAdm07
3600064001,02009-335601999-029003-409---4038,Delt,,FujAdm07
3601001003,02013-335601999-060601-109---,Delt,,jun
3601004002,02013-335601999-029001-409---,Delt,,mmge
3601009705,02013-335601999-029001-979---4038,Delt,,FujAdm07
3601052902,02013-335601999-029011-299---4038,Delt,,FujAdm07
3601054506,02013-335601999-029011-459---4038,Delt,,FujAdm07
3601059400,02013-335601999-029011-949---4038,Delt,,FujAdm07
3601074000,04048-335601999-040008-409---,Delt,,jun
3601074906,04048-335601999-040008-499--040122-4038,Delt,,ajml
3601125950,02013-335601999-029014-599---4038,Delt,,FujAdm07
3601134003,04045-335601999-040008-409---4038,Delt,,ajml
3601134909,04045-335601999-040008-499---4038,Delt,,ajml
3601144505,02013-335601999-029011-459---4038,Delt,,FujAdm07
3601172908,02013-335601999-020002-299---4038,Delt,,FujAdm07
3601205903,02013-335601999-029002-599---4038,Delt,,FujAdm07
3601315903,02013-335601999-026059-599---4038,Delt,,FujAdm07
3601357908,02050-335641999-029118-799---,Delt,,jun
3601359706,02038-335641999-026121-979--026229-4038,Delt,,ajml
3601361050,02013-335601200-060601-109---,Delt,,jun
3601402903,02013-335601999-026060-299---4038,Delt,,FujAdm07
3601404000,02013-335601999-026060-409---4038,Delt,,FujAdm07
3601404906,02013-335601999-026060-499---4038,Delt,,FujAdm07
3601409401,02013-335601999-026060-949---4038,Delt,,FujAdm07
3601427906,02013-335601999-026061-799---4038,Delt,,FujAdm07
3601894008,04045-335601999-060602-409---,Delt,,jun
3630174006,02011-335631999-029003-409---4038,Delt,,FujAdm07
3630184907,02011-335631999-029003-499---4038,Delt,,FujAdm07
3630189402,02011-335631999-029003-949---4038,Delt,,FujAdm07
3630192209,02011-335631999-026100-229---4038,Delt,,FujAdm07
3630192950,02011-335631999-026100-299---4038,Delt,,FujAdm07
3630194007,02011-335631999-026100-409---4038,Delt,,FujAdm07
3630194902,02011-335631999-026100-499---4038,Delt,,FujAdm07
3630197200,02011-335631999-026100-729---4038,Delt,,FujAdm07
3630199408,02011-335631999-026100-949---4038,Delt,,FujAdm07
3630201003,02011-335631999-060601-109---,Delt,,jun
3630201909,02011-335631999-060601-106---,Delt,,jun
3630204002,02011-335631999-029001-409---4038,Delt,,FujAdm07
3630209705,02011-335631999-029001-979---4038,Delt,,FujAdm07
3630214008,02011-335631999-029001-409---4038,Delt,,FujAdm07
3630234009,02011-335631999-029001-409---,Delt,,mmge
3630242907,02011-335631999-026062-299---4038,Delt,,FujAdm07
3630244004,02011-335631999-026062-409---4038,Delt,,FujAdm07
3630247208,02011-335631999-026062-729---4038,Delt,,FujAdm07
3630262207,02011-335631999-029015-229---4038,Delt,,FujAdm07
3630264005,02011-335631999-029015-409---4038,Delt,,FujAdm07
3630264900,02011-335631999-029015-499---4038,Delt,,FujAdm07
3630272903,02011-335631999-026017-299---4038,Delt,,FujAdm07
3630274000,02011-335631999-026017-409---4038,Delt,,FujAdm07
3630297205,02011-335631999-026063-729---4038,Delt,,FujAdm07
3630302306,02011-335631999-029012-239---4038,Delt,,FujAdm07
3630302950,02011-335631999-029012-299---4038,Delt,,FujAdm07
3630304007,02011-335631999-029012-409---4038,Delt,,FujAdm07
3630304902,02011-335631999-029012-499---4038,Delt,,FujAdm07
3630312905,02011-335631999-026062-299---4038,Delt,,FujAdm07
3630314509,02011-335631999-026062-459---4038,Delt,,FujAdm07
3630352206,02011-335631999-026100-229---4038,Delt,,FujAdm07
3630352907,02011-335631999-026100-299---4038,Delt,,FujAdm07
3630354004,02011-335631999-026100-409---4038,Delt,,FujAdm07
3630354500,02011-335631999-026100-459---4038,Delt,,FujAdm07
3630354950,02011-335631999-026100-499---4038,Delt,,FujAdm07
3630359707,02011-335631999-026100-979---4038,Delt,,FujAdm07
3630372207,02011-335631999-029003-229---4038,Delt,,FujAdm07
3630372908,02011-335631999-029003-299---4038,Delt,,FujAdm07
3630374005,02011-335631999-029003-409---4038,Delt,,FujAdm07
3630374900,02011-335631999-029003-499---4038,Delt,,FujAdm07
3630382202,02011-335631999-029003-229---4038,Delt,,FujAdm07
3630382903,02011-335631999-029003-299---4038,Delt,,FujAdm07
3630384000,02011-335631999-029003-409---4038,Delt,,FujAdm07
3630384906,02011-335631999-029003-499---4038,Delt,,FujAdm07
3630389207,02011-335631999-029003-929---4038,Delt,,FujAdm07
3630412950,02011-335631999-026064-299---4038,Delt,,FujAdm07
3630414007,02011-335631999-026064-409---4038,Delt,,FujAdm07
3630414902,02011-335631999-026064-499---4038,Delt,,FujAdm07
3630417901,02011-335631999-026064-799---4038,Delt,,FujAdm07
3630454009,02011-335631999-026064-409---4038,Delt,,FujAdm07
3630454904,02011-335631999-026064-499---4038,Delt,,FujAdm07
3630474050,02011-335631999-026064-409---4038,Delt,,FujAdm07
3630508605,02011-335632999-026065-869---4038,Delt,,FujAdm07
3630567202,02011-335631999-026063-729---4038,Delt,,FujAdm07
3630572206,02011-335631999-026064-229---4038,Delt,,FujAdm07
3630572907,02011-335631999-026064-299---4038,Delt,,FujAdm07
3630574004,02011-335631999-026064-409---4038,Delt,,FujAdm07
3630574950,02011-335631999-026064-499---4038,Delt,,FujAdm07
3630577909,02011-335631999-026064-799---4038,Delt,,FujAdm07
3630612909,02011-335631999-026064-299---4038,Delt,,FujAdm07
3630614006,02011-335631999-026064-409---4038,Delt,,FujAdm07
3630624001,02011-335631999-026064-409---4038,Delt,,ajml
3630711001,02011-335631999-060601-109---,Delt,,jun
3630719703,02011-335631999-029001-979---4038,Delt,,FujAdm07
3630722909,02011-335631999-026062-299---4038,Delt,,FujAdm07
3630732904,02011-335631999-026062-299---4038,Delt,,FujAdm07
3630864908,02011-335631999-029003-499---4038,Delt,,FujAdm07
3630962950,02011-335631999-026066-299---4038,Delt,,FujAdm07
3630964007,02011-335631999-026066-409---4038,Delt,,FujAdm07
3630972905,02011-335631999-026067-299---4038,Delt,,FujAdm07
3630974002,02011-335631999-026067-409---4038,Delt,,FujAdm07
3630987201,02011-335631999-026067-729---4038,Delt,,FujAdm07
3631004007,02011-335631999-026066-409---4038,Delt,,FujAdm07
3631041050,02011-335631200-060601-109---,Delt,,jun
3631041905,02011-335631200-060601-106---,Delt,,jun
3631052907,02011-335631999-026068-299---4038,Delt,,FujAdm07
3631054500,02011-335631999-026068-459---4038,Delt,,FujAdm07
3631054950,02011-335631999-026068-499---4038,Delt,,FujAdm07
3631062902,02011-335631999-026068-299---4038,Delt,,FujAdm07
3631064506,02011-335631999-026068-459---4038,Delt,,FujAdm07
3631077950,02011-335631999-026057-799---4038,Delt,,FujAdm07
3631114503,99004-335643999-990028-459-A363111--4035,Delt,,FujAdm07
3631912205,02011-335631999-026069-229---4038,Delt,,FujAdm07
3631912906,02011-335631999-026069-299---4038,Delt,,FujAdm07
3631914003,02011-335631999-026069-409---4038,Delt,,FujAdm07
3631914909,02011-335631999-026069-499---4038,Delt,,FujAdm07
3631917207,02011-335631999-026069-729---4038,Delt,,FujAdm07
3631922200,02011-335631999-026069-229---4038,Delt,,FujAdm07
3631922901,02011-335631999-026069-299---4038,Delt,,FujAdm07
3631924009,02011-335631999-026069-409---4038,Delt,,FujAdm07
3631924904,02011-335631999-026069-499---4038,Delt,,FujAdm07
3631929701,02011-335631999-026069-979---4038,Delt,,FujAdm07
3640021003,04048-335641999-060601-109---,Delt,,jun
3640031009,02012-335641999-026121-109--026230-,Delt,,madw
3640621000,04048-335641999-060601-109---,Delt,,jun
3640674007,04048-335641999-040008-409--040123-4038,Delt,,ajml
3640674902,04048-335641999-040008-499--040123-4038,Delt,,ajml
3640701004,02008-335641999-060601-109---,Delt,,jun
3640701950,02008-335641999-060601-106---,Delt,,jun
3640709102,02008-335641999-029001-919---4038,Delt,,FujAdm07
3640719450,02008-335641999-029001-949---4038,Delt,,FujAdm07
3640721900,02008-335641999-060601-106---,Delt,,jun
3640734050,02008-335641999-029001-409---4038,Delt,,FujAdm07
3640742908,02008-335641999-029001-299---4038,Delt,,FujAdm07
3640752903,02008-335641999-029013-299---4038,Delt,,FujAdm07
3640754507,02008-335641999-029013-459---4038,Delt,,FujAdm07
3640762305,02008-335641999-029013-239---,Delt,,jun
3640764901,02008-335641999-029014-499---4038,Delt,,FujAdm07
3640769407,02008-335641999-029014-949---4038,Delt,,FujAdm07
3640774907,02008-335641999-029006-499---4038,Delt,,FujAdm07
3640779402,02008-335641999-029006-949---4038,Delt,,FujAdm07
3640779704,02008-335641999-029006-979---4038,Delt,,FujAdm07
3640792905,02008-335641999-020002-299---4038,Delt,,FujAdm07
3640799403,02008-335641999-020002-949---4038,Delt,,FujAdm07
3640802900,02008-335641999-029002-299---4038,Delt,,FujAdm07
3640804008,02008-335641999-029002-409---4038,Delt,,FujAdm07
3640804903,02008-335641999-029002-499---4038,Delt,,FujAdm07
3640809700,02008-335641999-029002-979---4038,Delt,,FujAdm07
3640814003,02008-335641999-029004-409---4038,Delt,,FujAdm07
3640814909,02008-335641999-029004-499---4038,Delt,,FujAdm07
3640819404,02008-335641999-029004-949---4038,Delt,,FujAdm07
3640824009,02008-335641999-026017-409---4038,Delt,,FujAdm07
3640824904,02008-335641999-026017-499---4038,Delt,,FujAdm07
3640827903,02008-335641999-026017-799---4038,Delt,,FujAdm07
3640829450,02008-335641999-026017-949---4038,Delt,,FujAdm07
3640834004,02008-335641999-026072-409---4038,Delt,,FujAdm07
3640844905,02008-335641999-029003-499---4038,Delt,,FujAdm07
3640852207,02008-335641999-029003-229---4038,Delt,,FujAdm07
3640852908,02008-335641999-029003-299---4038,Delt,,FujAdm07
3640854005,02008-335641999-029003-409---4038,Delt,,FujAdm07
3640854900,02008-335641999-029003-499---4038,Delt,,FujAdm07
3640864000,02008-335641999-029003-409---4038,Delt,,FujAdm07
3640864906,02008-335641999-029003-499---4038,Delt,,FujAdm07
3640874006,02008-335641999-029003-409---4038,Delt,,FujAdm07
3640874901,02008-335641999-029003-499---4038,Delt,,FujAdm07
3640882904,02008-335641999-029003-299---4038,Delt,,FujAdm07
3640892950,02008-335641999-029003-299---4038,Delt,,FujAdm07
3640894007,02008-335641999-029003-409---4038,Delt,,FujAdm07
3640902905,02008-335641999-026001-299---4038,Delt,,FujAdm07
3640904002,02008-335641999-026001-409---4038,Delt,,FujAdm07
3640904908,02008-335641999-026001-499---4038,Delt,,FujAdm07
3640907907,02008-335641999-026001-799TS---4038,Delt,,FujAdm07
3640909403,02008-335641999-026001-949---4038,Delt,,FujAdm07
3640909705,02008-335641999-026001-979---4038,Delt,,FujAdm07
3640922205,02008-335641999-026052-229---4038,Delt,,FujAdm07
3640922906,02008-335641999-026052-299---4038,Delt,,FujAdm07
3640924003,02008-335641999-026052-409---4038,Delt,,FujAdm07
3640937202,02008-335641999-026052-729TS---4038,Delt,,FujAdm07
3640939701,02008-335641999-026052-979---4038,Delt,,FujAdm07
3640994001,02008-335641999-029001-409---,Delt,,mmge
