Finanskontoalias,Type,Angivelse af finanskontoalias,Ændret af,Brugergruppe/bruger
BOS0000102,Delt,01005-528201007-015031-529CPR---,jun,
BOS0000103,Delt,01005-645511002-015028-529CPR---,jun,
BOS0000104,Delt,01005-528211006-015025-529CPR---,jun,
BOS0000105,Delt,01005-528211017-015168-529CPR---,jun,
BOS0000106,Delt,01005-645511002-015024-529CPR---,jun,
BOS0000107,Delt,01005-645511002-015029-529CPR---,jun,
BOS0000108,Delt,01005-645511002-015101-529CPR---,jun,
BOS0000109,Delt,01005-645511002-015035-529CPR---,jun,
BOS0000110,Delt,01005-645511002-015036-529CPR---,jun,
BOS0000111,Delt,01005-645511002-015037-529CPR---,jun,
BOS0000112,Delt,01005-528211011-015038-529CPR---,jun,
BOS0000113,Delt,01005-528211017-015040-529CPR---,jun,
BOS0000114,Delt,01005-525141002-015039-529CPR---,jun,
BOS0000115,Delt,01005-525151002-015038-529CPR---,jun,
BOS0000116,Delt,01005-525161002-015038-529CPR---,jun,
BOS0000117,Delt,01005-528201003-015144-529CPR---,jun,
BOS0000118,Delt,01005-528201005-015140-529CPR---,jun,
BOS0000119,Delt,01005-528211002-015104-529CPR---,jun,
BOS0000120,Delt,01005-528211003-015104-529CPR---,jun,
BOS0000121,Delt,01005-528211005-015104-529CPR---,jun,
BOS0000122,Delt,01005-528211007-015104-529CPR---,jun,
BOS0000123,Delt,01005-528211008-015104-529CPR---,jun,
BOS0000124,Delt,01005-528211010-015104-529CPR---,jun,
BOS0000125,Delt,01005-528211011-015104-529CPR---,jun,
BOS0000126,Delt,01005-528211011-015177-529CPR---,jun,
BOS0000127,Delt,01005-528221001-015107-529CPR---,jun,
BOS0000128,Delt,01005-528221001-015108-529CPR---,jun,
BOS0000129,Delt,01005-528221001-015156-529CPR---,jun,
BOS0000130,Delt,01005-528221001-015168-529CPR---,jun,
BOS0000131,Delt,01005-528221001-015178-529CPR---,jun,
BOS0000132,Delt,01005-528221003-015125-529CPR---,jun,
BOS0000133,Delt,01005-528221003-015134-529CPR---,jun,
BOS0000134,Delt,01005-528221003-015178-529CPR---,jun,
BOS0000135,Delt,01005-528221005-015178-529CPR---,jun,
BOS0000136,Delt,01005-528231001-015177-529CPR---,jun,
BOS0000137,Delt,01005-528231002-015144-529CPR---,jun,
BOS0000138,Delt,01005-557721009-015180-529CPR---,jun,
BOS0000139,Delt,01005-528211011-015104-529CPR---,jun,
BOS0000140,Delt,01005-528211011-015125-529CPR---,jun,
BOS0000141,Delt,01005-528211011-015144-529CPR---,jun,
BOS0000142,Delt,01005-528211011-015177-529CPR---,jun,
BOS0000143,Delt,01005-528211005-015156-529CPR---,jun,
BOS0000144,Delt,01005-528211005-015108-529CPR---,jun,
BOS0000145,Delt,01005-528221005-015108-529CPR---,jun,
BOS0000146,Delt,01005-528221003-015177-529CPR---,jun,
BOS0000147,Delt,01005-528201003-015177-529CPR---,jun,
BOS0000148,Delt,01005-528211005-015144-529CPR---,jun,
BOS0000149,Delt,01005-528221005-015177-529CPR---,jun,
BOS0000150,Delt,01005-528221001-015177-529CPR---,jun,
BOS0000151,Delt,01005-528221001-015144-529CPR---,jun,
BOS0000152,Delt,01005-528221001-015125-529CPR---,jun,
BOS0000153,Delt,01005-528241999-015177-529CPR---,jun,
BOS0000154,Delt,01005-528201005-015121-529CPR---,jun,
BOS0000155,Delt,01005-528231002-015133-529CPR---,jun,
BOS0000156,Delt,01005-528221001-015155-529CPR---,jun,
BOS0000157,Delt,01005-528221005-015140-529CPR---,jun,
BOS0000158,Delt,01005-528211011-015133-529CPR---,jun,
BOS0000159,Delt,01005-528221005-015147-529CPR---,jun,
BOS0000160,Delt,01005-528211005-015140-529CPR---,jun,
BOS0000161,Delt,01005-528231001-015144-529CPR---,jun,
BOS0000162,Delt,01005-528211005-015177-529CPR---,jun,
BOS0000163,Delt,01005-528221005-015107-529CPR---,jun,
BOS0000164,Delt,01005-528221001-015140-529CPR---,jun,
BOS0000165,Delt,01005-528201005-015108-529CPR---,jun,
BOS0000166,Delt,01005-528211010-015106-529CPR---,jun,
BOS0000167,Delt,01005-645511002-015177-529CPR---,jun,
BOS0000168,Delt,01005-528221003-015144-529CPR---,jun,
BOS0000169,Delt,01005-528211007-015144-529CPR---,jun,
BOS0000170,Delt,01005-528231002-015109-529CPR---,jun,
BOS0000171,Delt,01005-528221003-015140-529CPR---,jun,
BOS0000172,Delt,01005-528201005-015111-529CPR---,jun,
BOS0000173,Delt,01005-528201003-015108-529CPR---,jun,
BOS0000174,Delt,01005-528221001-015110-529CPR---,jun,
BOS0000175,Delt,01005-528221001-015170-529CPR---,jun,
BOS0000176,Delt,01005-528241999-015144-529CPR---,jun,
BOS0000177,Delt,01005-528211007-015177-529CPR---,jun,
BOS0000178,Delt,01005-528201005-015181-529CPR---,jun,
BOS0000179,Delt,01005-528231001-015108-529CPR---,jun,
BOS0000180,Delt,01005-557721009-015126-529CPR---,jun,
BOS0000181,Delt,01005-528221003-015181-529CPR---,jun,
BOS0000207,Delt,01005-557721009-015147-529CPR---,jun,
